,nation,varieties1,varieties2,varieties3,varieties4,varieties5,varieties7,varieties7,varieties8,varieties9,varieties10,varieties11,abv,degree,sweet,acidity,body,tannin
97,24,236,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,4,3
98,24,236,212,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,4,5
99,24,308,316,316,316,316,316,316,316,316,316,316,18.0,14.5,1,3,4,4
100,24,308,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
101,24,67,316,316,316,316,316,316,316,316,316,316,10.0,13.5,1,3,3,1
102,24,236,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
103,24,236,316,316,316,316,316,316,316,316,316,316,18.0,14.5,1,3,4,4
104,24,236,316,316,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,3
105,17,178,308,212,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,3
106,17,308,178,187,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,4
107,17,178,308,212,187,316,316,316,316,316,316,316,17.0,14.0,1,3,4,3
108,17,308,178,316,316,316,316,316,316,316,316,316,17.0,12.0,1,4,3,3
109,17,178,308,187,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,3
110,1,308,316,316,316,316,316,316,316,316,316,316,18.5,13.8,1,3,5,4
111,11,180,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,3,3
112,11,303,316,316,316,316,316,316,316,316,316,316,7.0,5.5,4,2,2,1
113,11,180,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
114,11,180,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,4
115,11,40,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,4,3,3
116,11,88,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,2,3
117,6,308,316,316,316,316,316,316,316,316,316,316,17.0,13.7,1,3,3,3
118,6,308,316,316,316,316,316,316,316,316,316,316,17.0,13.7,1,3,4,3
119,6,308,316,316,316,316,316,316,316,316,316,316,17.0,13.2,1,4,3,3
120,6,308,316,316,316,316,316,316,316,316,316,316,17.5,13.5,1,3,4,3
121,6,308,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,5
122,6,236,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,4
123,6,211,316,316,316,316,316,316,316,316,316,316,10.5,13.2,1,4,2,1
124,6,90,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,4,3,2
125,6,90,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,4,2,2
126,6,90,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,3,3,2
127,6,308,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
128,6,308,316,316,316,316,316,316,316,316,316,316,17.0,14.2,1,3,4,4
129,6,67,316,316,316,316,316,316,316,316,316,316,11.0,14.2,1,3,3,1
130,6,211,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,2,1
131,6,298,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,2,2,2
132,6,178,316,316,316,316,316,316,316,316,316,316,17.5,13.5,1,3,3,3
133,6,308,298,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
134,6,308,298,316,316,316,316,316,316,316,316,316,17.0,14.0,1,3,3,3
135,6,178,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
136,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,4,4,3
137,17,67,316,316,316,316,316,316,316,316,316,316,11.0,12.5,1,3,4,1
138,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,4,3,1
