,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,degree,abv,sweet,acidity,body,tannin,price,year,ml,av_rating,src
1937,146164,Palo Alto Reserva,Miailhe Family,Chile,Maule Valley,0,0,0,Cabernet Sauvignon,Carmenere,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,Red,Table,13.8,17.0,1,3,2,2,17700,2008,750,0,0
1938,146165,Criollo Cabernet Shiraz,Miailhe Family,Argentina,Mendoza,0,0,0,Syrah & Shiraz,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,4,3,3,10800,2009,750,0,0
1939,146166,Criollo Shiraz Malbec,Miailhe Family,Argentina,Mendoza,0,0,0,Malbec,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,0,Red,Table,13.3,17.0,1,4,3,2,10800,2009,750,0,0
1940,146169,Vina Mantibre Cosecha,Freixenet,Spain,Rioja,0,0,0,Tempranillo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,12.5,17.0,1,3,3,3,19800,2008,750,0,0
1941,146171,Tesco Cava Demi Sec,Freixenet,Spain,0,0,0,0,Macabeo,Xarel.lo,Parellada,0,0,0,0,0,0,0,0,0,Sparkling,Appetizer,11.5,5.5,3,2,2,1,13800,2006,750,0,0
1942,146174,Gracia Cabernet Sauvignon,Miailhe Family,Chile,Central Valley,0,0,0,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,3,3,15800,2009,750,0,0
1943,146175,Gracia Merlot,Miailhe Family,Chile,Central Valley,0,0,0,Merlot,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,2,3,15800,2009,750,0,0
1944,146176,Marchesi di Gresy Gresy Camp Gross Barbaresco,Marchesi di Gresy,Italy,Piemonte,Barbaresco,0,0,Nebbiolo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.5,1,4,3,4,300000,2003,750,0,0
1945,146177,Marchesi di Gresy Langhe Rosso 'Villa Martis',Marchesi di Gresy,Italy,Piemonte,Langhe,0,0,Barbera,Nebbiolo,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.5,1,4,3,3,68000,2005,750,0,0
1946,146178,Marchesi di Gresy Solomerlot,Marchesi di Gresy,Italy,Piemonte,Monferrato,0,0,Merlot,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.5,1,3,3,3,136000,2004,750,0,0
1947,146179,Marchesi di Gresy Langhe 'Virtus',Marchesi di Gresy,Italy,Piemonte,Langhe,0,0,Barbera,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.5,1,4,4,3,146000,2001,750,0,0
1948,146180,"Marchesi di Gresy, Barbera d'Asti",Marchesi di Gresy,Italy,Piemonte,Asti,0,0,Barbera,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,4,3,2,55000,2007,750,0,0
1949,146181,Marchesi di Gresy Monte Aribaldo Dolcetto d'Alba,Marchesi di Gresy,Italy,Piemonte,Alba,0,0,Dolcetto,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,4,3,3,55000,2008,750,0,0
1950,146182,Marchesi di Gresy Langhe Sauvignon,Marchesi di Gresy,Italy,Piemonte,Langhe,0,0,Sauvignon blanc,0,0,0,0,0,0,0,0,0,0,0,White,Table,14.0,9.5,1,4,2,1,60000,2009,750,0,0
1951,146184,"Rockford, Eden Valley  Riesling",Rockford,Australia,South Australia,Eden Valley,0,0,Riesling,0,0,0,0,0,0,0,0,0,0,0,White,Table,12.0,11.0,1,3,3,1,90000,2006,750,0,0
1952,146189,Domaine Daniel Rion & Fils Bourgogne Pinot Noir,Daniel Rion Domaine Daniel Rion  Fils,France,Bourgogne,0,0,0,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,16.0,1,4,3,2,110000,2014,750,0,0
1953,146190,Domaine Daniel Rion & Fils Cote de Nuits Villages,Daniel Rion Domaine Daniel Rion  Fils,France,Bourgogne,Cote de Nuits,Cote de NuitsVillages,0,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,Red,Table,12.5,16.0,1,4,3,2,150000,2014,750,0,0
1954,146192,Domaine Daniel Rion & Fils Vonsne Romanee Village,Daniel Rion Domaine Daniel Rion  Fils,France,Bourgogne,Cote de Nuits,VosneRomanee,0,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,16.0,1,4,3,2,300000,2014,750,0,0
1955,146194,"Tarapaca, Cabernet Sauvignon",Vina Tarapaca,Chile,Central Valley,0,0,0,Cabernet Sauvignon,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,3,3,28000,2017,750,0,0
1956,146202,"Barton & Guestier, Reserve Chardonnay",Barton  Guestier,France,Southern France,Languedoc Roussillon,0,0,Chardonnay,0,0,0,0,0,0,0,0,0,0,0,White,Table,13.5,11.0,1,3,3,1,26000,2007,750,0,0
1957,146205,"Tarapaca, Chardonnay",Vina Tarapaca,Chile,Central Valley,0,0,0,Chardonnay,0,0,0,0,0,0,0,0,0,0,0,White,Table,13.5,11.0,1,3,3,1,28000,2017,750,0,0
1958,146212,"Echelon Vineyards, Cabernet Sauvignon",Echelon Vineyards,USA,California,Monterey County,Hames Valley,0,Cabernet Sauvignon,Teroldego,Alicante Bouschet,0,0,0,0,0,0,0,0,0,Red,Table,13.8,17.0,1,3,3,3,26000,2005,750,0,0
1959,146214,"Navarro Correas, Structura 'Rare Barrels'",Bodega Navarro Correas,Argentina,Mendoza,0,0,0,Malbec,Cabernet Sauvignon,Cabernet Franc,Merlot,0,0,0,0,0,0,0,0,Red,Table,14.8,17.0,1,3,4,5,220000,2012,750,0,0
1960,146215,"Navarro Correas, Alegoria Late Harvest",Bodega Navarro Correas,Argentina,Mendoza,0,0,0,Semillon,Sauvignon blanc,0,0,0,0,0,0,0,0,0,0,White,Dessert,10.0,9.0,5,1,2,1,80000,2006,500,0,0
1961,146216,"Navarro Correas, Extra Brut",Bodega Navarro Correas,Argentina,Mendoza,0,0,0,Chardonnay,Pinot Noir,0,0,0,0,0,0,0,0,0,0,Sparkling,Appetizer,13.0,5.5,1,4,2,1,64000,2007,750,0,0
1962,146217,"Navarro Correas, Los Arboles Cabernet Sauvignon",Bodega Navarro Correas,Argentina,Mendoza,0,0,0,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,3,3,26000,2017,750,0,0
1963,146218,"Navarro Correas, Los Arboles Malbec",Bodega Navarro Correas,Argentina,Mendoza,0,0,0,Malbec,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.0,1,3,4,3,26000,2017,750,0,0
1964,146219,"Navarro Correas, Los Arboles Chardonnay",Bodega Navarro Correas,Argentina,Mendoza,0,0,0,Chardonnay,0,0,0,0,0,0,0,0,0,0,0,White,Table,13.5,11.0,1,3,3,1,26000,2017,750,0,0
1965,146220,"Barton & Guestier, Thomas Barton Reserve Privee Medoc",Barton  Guestier,France,Bordeaux,Medoc,0,0,Cabernet Sauvignon,Merlot,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,4,4,5,180000,2005,750,0,0
1966,146228,"Marques de Grinon, Rioja",Marques de Grinon,Spain,Rioja,0,0,0,Tempranillo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,3,4,4,40000,2006,750,0,0
1967,146229,"Marques de Grinon, Tempranillo",Marques de Grinon,Spain,Rioja,0,0,0,Tempranillo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,3,4,4,40000,2006,750,0,0
1968,146230,"Marques de Grinon, Crianza",Marques de Grinon,Spain,Rioja,0,0,0,Tempranillo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,3,4,3,50000,2004,750,0,0
1969,146231,"Marques de Grinon, Alea Crianza",Marques de Grinon,Spain,Rioja,0,0,0,Tempranillo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,3,4,3,50000,2004,750,0,0
1970,146232,Staete Landt Marlborough Sauvignon Blanc,Staete Landt,New Zealand,South Island,Marlborough,0,0,Sauvignon blanc,0,0,0,0,0,0,0,0,0,0,0,White,"Appetizer, Table",14.0,11.0,1,5,3,1,40000,2014,750,0,0
1971,146233,Staete Landt Marlborough Chardonnay,Staete Landt,New Zealand,South Island,Marlborough,0,0,Chardonnay,0,0,0,0,0,0,0,0,0,0,0,White,Table,14.0,11.0,1,4,3,1,39000,2014,750,0,0
1972,146234,Staete Landt Marlborough Pinot Noir,Staete Landt,New Zealand,South Island,Marlborough,0,0,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,5,3,3,52000,2014,750,0,0
1973,146235,"Vina Mar, Reserva Cabernet Sauvignon",Vina Mar,Chile,Aconcagua,Casablanca Valley,0,0,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.0,1,3,4,3,48000,2006,750,0,0
1974,146236,"Vina Mar, Reserva Merlot",Vina Mar,Chile,Aconcagua,Casablanca Valley,0,0,Merlot,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,2,3,48000,2007,750,0,0
1975,146237,"Vina Mar, Reserva Especial Cabernet Sauvignon Carmenere",Vina Mar,Chile,Aconcagua,Casablanca Valley,0,0,Cabernet Sauvignon,Carmenere,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,4,3,55000,2006,750,0,0
1976,146238,"Vina Mar, Reserva Especial Merlot",Vina Mar,Chile,Aconcagua,Casablanca Valley,0,0,Merlot,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,4,3,55000,2006,750,0,0
1977,146240,"Vina Mar, Reserva Especial Sauvignon Blanc",Vina Mar,Chile,Aconcagua,Casablanca Valley,0,0,Sauvignon blanc,0,0,0,0,0,0,0,0,0,0,0,White,Table,13.5,11.0,1,3,2,1,55000,2008,750,0,0
1978,146245,"Bodega Benegas, Juan Benegas Malbec",Bodega Benegas,Argentina,Mendoza,0,0,0,Malbec,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,3,3,50000,2009,750,0,0
1979,146246,"Bodega Benegas, Don Tiburcio",Bodega Benegas,Argentina,Mendoza,0,0,0,Cabernet Sauvignon,Merlot,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,4,3,41000,2005,750,0,0
1980,146247,"Bodega Benegas, Syrah",Bodega Benegas,Argentina,Mendoza,0,0,0,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,0,0,Red,Table,15.0,17.0,1,3,4,4,62000,2006,750,0,0
1981,146248,"Bodega Benegas, Malbec",Bodega Benegas,Argentina,Mendoza,0,0,0,Malbec,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.0,1,3,4,4,80000,2006,750,0,0
1982,146249,"Bodega Benegas, Lynch Meritage",Bodega Benegas,Argentina,Mendoza,0,0,0,Cabernet Franc,Cabernet Sauvignon,Merlot,Petit Verdot,0,0,0,0,0,0,0,0,Red,Table,14.5,17.0,1,3,5,4,160000,2006,750,0,0
1983,146268,"Angove, Long Row Cabernet Sauvignon",Angove,Australia,South Australia,0,0,0,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.0,1,3,3,4,41000,2017,750,0,0
1984,146269,"Angove, Chalk Hill Blue Shiraz Cabernet",Angove,Australia,South Australia,0,0,0,Syrah & Shiraz,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,4,3,37000,2018,750,0,0
1985,146272,Chateau Lagarosse,Chateau Lagarosse,France,Bordeaux,Premieres Cotes de Bordeaux,0,0,Merlot,Cabernet Franc,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,3,3,44000,2006,750,0,0
1986,146273,Michel Rolland Chateau Le Doyenne,Michel Rolland Collection,France,Bordeaux,Premieres Cotes de Bordeaux,0,0,Merlot,Cabernet Sauvignon,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,12.5,17.0,1,3,3,3,59000,2004,750,0,0
1987,146274,Les Complices de Puech Haut,Les Complices de PuechHaut,France,Southern France,Languedoc Roussillon,Coteaux du Languedoc,0,Grenache,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,3,3,55000,2012,750,0,0
1988,146276,Chateau de Bel Air,Chateau Bel AirPomerol,France,Bordeaux,Lalande de Pomerol,0,0,Merlot,Cabernet Sauvignon,Malbec,Cabernet Franc,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,3,4,4,100000,2004,750,0,0
1989,146277,Chateau Fonplegade,Chateau FonplegadeMichel Rolland,France,Bordeaux,SaintEmilion Grand Cru,0,0,Merlot,Cabernet Franc,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,5,4,250000,2005,750,0,0
1990,146278,Chateau Grand Montet,Chateau Grand Montet,France,Bordeaux,0,0,0,Merlot,Cabernet Sauvignon,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,12.5,17.0,1,3,3,3,35000,2015,750,0,0
1991,146279,Baron des Chartrons,Baron des Chartrons,France,Bordeaux,0,0,0,Merlot,Cabernet Sauvignon,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,12.0,17.0,1,3,3,3,32000,2015,750,0,0
1992,146284,"Boekenhoutskloof, Wolftrap",Boekenhoutskloof,the Republic of South Africa,Coastal Region,Franschhoek  Franschhoek Valley,0,0,Syrah & Shiraz,mourvedre,Viognier,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.0,1,4,4,4,34000,2012,750,0,0
1993,146291,"Matetic, Corralillo Syrah",Matetic Vineyards,Chile,Aconcagua,San Antonio Valley,0,0,Syrah & Shiraz,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.0,17.0,1,3,4,4,74000,2011,750,0,0
1994,146292,O. Fournier Urban Uco Blend,O Fournier  Argentina,Argentina,Mendoza,0,0,0,Malbec,Tempranillo,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.5,1,3,4,4,46000,2011,750,0,0
1995,146293,O. Fournier Urban Uco Malbec,O Fournier  Argentina,Argentina,Mendoza,0,0,0,Malbec,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.5,1,3,4,4,46000,2011,750,0,0
1996,146294,O. Fournier B Crux,O Fournier  Argentina,Argentina,Mendoza,0,0,0,Tempranillo,Malbec,Merlot,0,0,0,0,0,0,0,0,0,Red,Table,14.5,18.0,1,3,4,3,92000,2008,750,0,0
1997,146295,O. Fournier A Crux Malbec,O Fournier  Argentina,Argentina,Mendoza,0,0,0,Malbec,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,18.0,1,3,5,4,223000,2008,750,0,0
1998,146296,"Forrest, Tatty Bogler Pinot Noir",Forrest Estate,New Zealand,South Island,Central Otago,0,0,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,16.5,1,5,3,3,168000,2008,750,0,0
1999,146298,"Forrest, Stonewall Sauvignon Blanc",Forrest Estate,New Zealand,South Island,Marlborough,0,0,Sauvignon blanc,0,0,0,0,0,0,0,0,0,0,0,White,Table,13.0,10.0,1,5,2,1,62000,2007,750,0,0
2000,146302,Fox Creek Shadow's Run Shiraz Cabernet,Fox Creek,Australia,South Australia,McLaren Vale,0,0,Syrah & Shiraz,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.5,1,3,4,4,52000,2006,750,0,0
2001,146303,Fox Creek Shadow's Run 'The White',Fox Creek,Australia,South Australia,McLaren Vale,0,0,Chardonnay,Verdelho,0,0,0,0,0,0,0,0,0,0,White,Table,13.5,11.0,1,3,3,1,52000,2009,750,0,0
2002,146311,"O. Fournier, Spiga",O Fournier  Argentina,Spain,Ribera del Duero,0,0,0,Tempranillo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.5,1,3,4,4,143000,2004,750,0,0
2003,146322,Blason d'Issan,Chateau dissan Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,0,0,Cabernet Sauvignon,Merlot,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.5,1,3,4,4,65000,2018,750,0,0
2004,146333,"Dugat Py, Bourgogne 'Cuvee Halinard'",Domaine Bernard Dugat Py,France,Bourgogne,0,0,0,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,Red,Table,12.5,16.0,1,4,2,2,240000,2014,750,0,0
